batchId,runId,title,command,status,runType,userName,userId,projectOwnerName,projectOwnerId,projectName,projectId,runDurationSec,hardwareTier,hardwareTierCostCurrency,hardwareTierCostAmount,queuedTime,startTime,endTime,totalCostCurrency,totalCostAmount,computeClusterDetails
1643382996066,61f4069bc4ffbb1dc98d415d,ray-test,[JupyterLab session ],Error,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,0.0,small-k8s,USD,0,2022-01-28T15:07:07.446Z,,2022-01-28T15:16:36.066Z,USD,0,"{'computeClusterType': 'Ray', 'masterHardwareTierId': 'medium-k8s', 'masterHardwareTierCostPerMinute': 0, 'workerCount': 2, 'workerHardwareTierId': 'medium-k8s', 'workerHardwareTierCostPerMinute': 0}"
1643383656071,61f40938c4ffbb1dc98d41df,ray-test,[JupyterLab session ],Error,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,0.0,small-k8s,USD,0,2022-01-28T15:18:16.879Z,,2022-01-28T15:27:36.071Z,USD,0,"{'computeClusterType': 'Ray', 'masterHardwareTierId': 'medium-k8s', 'masterHardwareTierCostPerMinute': 0, 'workerCount': 2, 'workerHardwareTierId': 'medium-k8s', 'workerHardwareTierCostPerMinute': 0}"
1643385156074,61f40f11c4ffbb1dc98d464e,ray-test,[JupyterLab session ],Error,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,0.0,small-k8s,USD,0,2022-01-28T15:43:13.148Z,,2022-01-28T15:52:36.074Z,USD,0,"{'computeClusterType': 'Ray', 'masterHardwareTierId': 'medium-k8s', 'masterHardwareTierCostPerMinute': 0, 'workerCount': 2, 'workerHardwareTierId': 'medium-k8s', 'workerHardwareTierCostPerMinute': 0}"
1643479695465,61f5816ec4ffbb1dc98d5a65,integration-test's JupyterLab session,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,quick-start,61ae25cd2044e30af371ee2a,232.094,small-k8s,USD,0,2022-01-29T18:03:26.123Z,2022-01-29T18:04:23.371Z,2022-01-29T18:08:15.465Z,USD,0,
1643480729729,61f58377c4ffbb1dc98d5a78,integration-test's JupyterLab session,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,quick-start,61ae25cd2044e30af371ee2a,765.025,small-k8s,USD,0,2022-01-29T18:12:07.957Z,2022-01-29T18:12:44.704Z,2022-01-29T18:25:29.729Z,USD,0,
1643481431146,61f586eec4ffbb1dc98d5a8b,integration-test's JupyterLab session,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,quick-start,61ae25cd2044e30af371ee2a,578.9,small-k8s,USD,0,2022-01-29T18:26:54.743Z,2022-01-29T18:27:32.246Z,2022-01-29T18:37:11.146Z,USD,0,
1643481907233,61f58a8cc4ffbb1dc98d5a9a,integration-test's JupyterLab session,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,quick-start,61ae25cd2044e30af371ee2a,141.268,small-k8s,USD,0,2022-01-29T18:42:20.619Z,2022-01-29T18:42:45.965Z,2022-01-29T18:45:07.233Z,USD,0,
1643482478336,61f58c12c4ffbb1dc98d5aad,integration-test's JupyterLab session,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,quick-start,61ae25cd2044e30af371ee2a,161.371,small-k8s,USD,0,2022-01-29T18:48:50.498Z,2022-01-29T18:51:56.965Z,2022-01-29T18:54:38.336Z,USD,0,
1643535702422,61f58d6fc4ffbb1dc98d5ac0,integration-test's JupyterLab session,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,quick-start,61ae25cd2044e30af371ee2a,53202.054,small-k8s,USD,0,2022-01-29T18:54:39.701Z,2022-01-29T18:55:00.368Z,2022-01-30T09:41:42.422Z,USD,0,
1643627974705,61f7c36bc4ffbb1dc98d5caf,integration-test's JupyterLab session,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,quick-start,61ae25cd2044e30af371ee2a,573.893,small-k8s,USD,0,2022-01-31T11:09:31.614Z,2022-01-31T11:10:00.812Z,2022-01-31T11:19:34.705Z,USD,0,
